SCHOOL_ID,ORGANISATION_NAME,CLASS,SUBJECT,SKILL_NAME,ROUND_ID,YEAR,SCHOOL_ACCURACY,NATIONAL_ACCURACY
2449,"Delhi Public School, Mathura Road",5,English,Understands organisation and context of the passage,50,2025,65.6250217262,47.94090663777768
2449,"Delhi Public School, Mathura Road",5,English,Knows correct spellings and phonics in words,50,2025,59.672641369,47.817798633124475
2449,"Delhi Public School, Mathura Road",5,English,Analyses and infers hidden ideas,50,2025,55.4846997024,50.515680477742066
2449,"Delhi Public School, Mathura Road",5,English,Understands the usage of grammar concepts,50,2025,53.0258011905,48.2731309835515
2449,"Delhi Public School, Mathura Road",5,English,Knows punctuation and sentence formation,50,2025,36.3095095238,50.8276078912701
2449,"Delhi Public School, Mathura Road",5,English,Identifies and recalls direct facts in the passage,50,2025,44.3948511905,50.44107411830269
2449,"Delhi Public School, Mathura Road",5,English,"Identifies synonyms, antonyms and other words",50,2025,51.3690553571,49.13746109564057
2449,"Delhi Public School, Mathura Road",5,English,Identifies the main idea and purpose of the passage,50,2025,50.0000116071,47.12446919457881
2449,"Delhi Public School, Mathura Road",5,English,Interprets the lines of a poem,50,2025,51.5873160714,50.769640514966454
2449,"Delhi Public School, Mathura Road",5,English,Deduces word meanings from contextual clues,50,2025,52.3809392857,50.49663679274824
2449,"Delhi Public School, Mathura Road",5,Maths,Fractions: concepts and applications,50,2025,42.8571357143,40.397873702712374
2449,"Delhi Public School, Mathura Road",5,Maths,Measurement and data interpretation,50,2025,54.4047604167,48.61780920285197
2449,"Delhi Public School, Mathura Road",5,Maths,Problem solving: advanced or challenging problems,50,2025,44.5238232143,42.376897045434475
2449,"Delhi Public School, Mathura Road",5,Maths,Basic shapes and geometry,50,2025,43.7500050595,50.26588451898463
2449,"Delhi Public School, Mathura Road",5,Maths,"Arithmetic operations: four basic operations, properties",50,2025,43.9880845238,47.23193697805034
2449,"Delhi Public School, Mathura Road",5,Maths,"Applications in daily life: money, time, calendar, length etc.",50,2025,40.6746041667,45.715213064128775
2449,"Delhi Public School, Mathura Road",5,Maths,Applications in daily life: word/visual problems,50,2025,43.3928619048,44.94580012453758
2449,"Delhi Public School, Mathura Road",5,Maths,"Number sense, related concepts and basic number competency",50,2025,46.2500041667,46.2582219640555
2449,"Delhi Public School, Mathura Road",5,Science,"Definition or description of scientific terms, organisms or materials",50,2025,55.75398125,54.376873647778424
2449,"Delhi Public School, Mathura Road",5,Science,Hypothesis formulation or prediction of outcome,50,2025,59.00296875,44.054559510796295
2449,"Delhi Public School, Mathura Road",5,Science,"Representing, relating or explaining scientific processes or observed phenomena",50,2025,29.9603160714,45.820505366651645
2449,"Delhi Public School, Mathura Road",5,Science,"Extraction, translation and application of knowledge or information",50,2025,43.1547559524,49.67132651867187
2449,"Delhi Public School, Mathura Road",5,Science,Classification/comparison of organisms/processes; giving examples,50,2025,42.4999988095,52.527582067896816
2449,"Delhi Public School, Mathura Road",5,Science,"Knowledge of use of scientific instruments, tools and procedures",50,2025,46.9246011905,50.86450648928877
2449,"Delhi Public School, Mathura Road",5,Science,Analysis of information to identify trends or properties,50,2025,55.6547639881,48.881176284332916
2449,"Delhi Public School, Mathura Road",5,Science,Recollection or recognition of science facts and concepts,50,2025,63.3928675595,53.31942634574782
2449,"Delhi Public School, Mathura Road",5,Science,Integrating different concepts or information for decision making,50,2025,43.6507693452,44.02753105981855
2449,"Delhi Public School, Mathura Road",6,English,Infers using contextual clues and prior knowledge,50,2025,48.3386158228,45.79537078139259
2449,"Delhi Public School, Mathura Road",6,English,Knows punctuation and sentence formation,50,2025,40.6117981013,43.98392245911137
2449,"Delhi Public School, Mathura Road",6,English,Identifies and recalls direct facts in the passage,50,2025,55.9674746835,50.67348722609017
2449,"Delhi Public School, Mathura Road",6,English,Understands the usage of grammar concepts,50,2025,43.8291158228,46.28066377188061
2449,"Delhi Public School, Mathura Road",6,English,Identifies the main idea and purpose of the passage,50,2025,58.4388455696,45.91075694820505
2449,"Delhi Public School, Mathura Road",6,English,Deduces word meanings from contextual clues,50,2025,59.9156335443,48.95840738075329
2449,"Delhi Public School, Mathura Road",6,English,Analyses characters and situations,50,2025,52.9113971519,48.14941745386299
2449,"Delhi Public School, Mathura Road",6,English,Knows correct spellings and phonics in words,50,2025,44.0506297468,45.4498821877189
2449,"Delhi Public School, Mathura Road",6,English,Interprets the lines of a poem,50,2025,67.9324946203,48.52570756697335
2449,"Delhi Public School, Mathura Road",6,English,"Identifies synonyms, antonyms and other words",50,2025,52.1097151899,47.748206665169384
2449,"Delhi Public School, Mathura Road",6,English,Understands organisation and context of the passage,50,2025,49.0506310127,46.83617063000594
2449,"Delhi Public School, Mathura Road",6,English,"Understands idioms, proverbs and figures of speech",50,2025,64.9525212025,45.38142716949658
2449,"Delhi Public School, Mathura Road",6,Maths,"Arithmetic operations: four basic operations, properties",50,2025,34.9206311111,45.11294204518107
2449,"Delhi Public School, Mathura Road",6,Maths,"Number sense, related concepts and basic number competency",50,2025,35.5555380952,45.12510815222006
2449,"Delhi Public School, Mathura Road",6,Maths,Factors and multiples,50,2025,29.3121768254,43.11278180892906
2449,"Delhi Public School, Mathura Road",6,Maths,Area and perimeter: concepts and computations,50,2025,26.8782920635,40.152113969628786
2449,"Delhi Public School, Mathura Road",6,Maths,Pre-algebra and algebra skills,50,2025,55.8730190476,49.20646785331643
2449,"Delhi Public School, Mathura Road",6,Maths,Measurement and data interpretation,50,2025,41.0793622222,48.05392271524651
2449,"Delhi Public School, Mathura Road",6,Maths,Applications in daily life: word/visual problems,50,2025,39.1746085714,42.721189276706454
2449,"Delhi Public School, Mathura Road",6,Maths,Geometry: concepts and applications,50,2025,56.402131746,47.30405875568669
2449,"Delhi Public School, Mathura Road",6,Maths,"Fractions and decimals: concepts, use and conversions",50,2025,36.6349228571,38.623779369207035
2449,"Delhi Public School, Mathura Road",6,Maths,Problem solving: advanced or challenging problems,50,2025,23.555552381,36.386912170019606
2449,"Delhi Public School, Mathura Road",6,Science,Analysis of information to identify trends or properties,50,2025,38.9841285714,44.456656229022144
2449,"Delhi Public School, Mathura Road",6,Science,Hypothesis formulation; design of apparatus or experiment,50,2025,55.1322650794,40.92316794932989
2449,"Delhi Public School, Mathura Road",6,Science,"Knowledge of use of scientific instruments, tools and procedures",50,2025,44.0476161905,49.90553035537656
2449,"Delhi Public School, Mathura Road",6,Science,"Definition or description of scientific terms, organisms or materials",50,2025,46.666664127,48.949559802969254
2449,"Delhi Public School, Mathura Road",6,Science,Advanced or complex data representation or interpretation,50,2025,29.4180047619,45.20429550418288
2449,"Delhi Public School, Mathura Road",6,Science,"Extraction, translation and application of knowledge or information",50,2025,45.9788434921,47.05628963091558
2449,"Delhi Public School, Mathura Road",6,Science,Recollection or recognition of science facts and concepts,50,2025,47.1111206349,46.936866352338654
2449,"Delhi Public School, Mathura Road",6,Science,Integrating different concepts or information for decision making,50,2025,36.6666584127,44.32154514576571
2449,"Delhi Public School, Mathura Road",6,Science,Classification/comparison of organisms/processes; giving examples,50,2025,50.3491930159,46.5920272390981
2449,"Delhi Public School, Mathura Road",6,Science,"Representing, relating or explaining scientific processes or observed phenomena",50,2025,47.777768254,43.38209515399634
2449,"Delhi Public School, Mathura Road",7,English,Infers using contextual clues and prior knowledge,50,2025,48.9811880878,47.19422491644009
2449,"Delhi Public School, Mathura Road",7,English,Identifies the main idea and purpose of the passage,50,2025,49.5297874608,47.58283152158508
2449,"Delhi Public School, Mathura Road",7,English,Understands organisation and context of the passage,50,2025,48.0250808777,45.933376348338115
2449,"Delhi Public School, Mathura Road",7,English,Identifies and recalls direct facts in the passage,50,2025,43.9767194357,49.134315620528135
2449,"Delhi Public School, Mathura Road",7,English,Knows punctuation and sentence formation,50,2025,35.5407642633,44.71726830526468
2449,"Delhi Public School, Mathura Road",7,English,"Registers moods, tones and emotions",50,2025,49.8432489028,47.75391217598829
2449,"Delhi Public School, Mathura Road",7,English,Understands the usage of grammar concepts,50,2025,47.6489137931,47.541660998952054
2449,"Delhi Public School, Mathura Road",7,English,"Identifies synonyms, antonyms and other words",50,2025,38.3490166144,45.571440442235726
2449,"Delhi Public School, Mathura Road",7,English,"Understands idioms, proverbs and figures of speech",50,2025,39.7074122257,44.20792998757246
2449,"Delhi Public School, Mathura Road",7,English,Analyses characters and situations,50,2025,41.4420037618,48.49249184907589
2449,"Delhi Public School, Mathura Road",7,English,Deduces word meanings from contextual clues,50,2025,50.9628335423,46.31459639476778
2449,"Delhi Public School, Mathura Road",7,Maths,"Fractions, decimals and ratios: concepts and applications",50,2025,45.2664636364,40.08854622025632
2449,"Delhi Public School, Mathura Road",7,Maths,Integers: concepts and applications,50,2025,64.8902768025,48.9261296054077
2449,"Delhi Public School, Mathura Road",7,Maths,Algebra: concepts and applications,50,2025,49.8432655172,42.434414451544825
2449,"Delhi Public School, Mathura Road",7,Maths,Factors and multiples,50,2025,22.6750065831,41.532883351860654
2449,"Delhi Public School, Mathura Road",7,Maths,"Number sense, related competency and computation skills",50,2025,45.2037526646,42.71702427632181
2449,"Delhi Public School, Mathura Road",7,Maths,Geometry: concepts and applications,50,2025,45.5590272727,48.56385248748267
2449,"Delhi Public School, Mathura Road",7,Maths,"Mensuration: area and perimeter; concepts, computation",50,2025,32.852661442,37.24721472090916
2449,"Delhi Public School, Mathura Road",7,Maths,Applications in daily life: word/visual problems,50,2025,38.5579952978,39.63939630855037
2449,"Delhi Public School, Mathura Road",7,Maths,Problem solving: advanced or challenging problems,50,2025,36.1755479624,37.40843669052444
2449,"Delhi Public School, Mathura Road",7,Maths,Measurement and data interpretation,50,2025,44.200623511,48.52428723654211
2449,"Delhi Public School, Mathura Road",7,Science,Integrating different concepts or information for decision making,50,2025,35.2351203762,40.03253918247104
2449,"Delhi Public School, Mathura Road",7,Science,Recollection or recognition of science facts and concepts,50,2025,36.6771272727,43.88000588672366
2449,"Delhi Public School, Mathura Road",7,Science,Advanced or complex data representation or interpretation,50,2025,39.2894416928,40.338838340069714
2449,"Delhi Public School, Mathura Road",7,Science,"Knowledge of use of scientific instruments, tools and procedures",50,2025,50.4702260188,45.74843006186361
2449,"Delhi Public School, Mathura Road",7,Science,Hypothesis formulation; design of apparatus or experiment,50,2025,30.1985410658,40.42568764701093
2449,"Delhi Public School, Mathura Road",7,Science,"Definition or description of scientific terms, organisms or materials",50,2025,39.3416918495,43.360162887677426
2449,"Delhi Public School, Mathura Road",7,Science,"Representing, relating or explaining scientific processes or observed phenomena",50,2025,59.4043990596,44.94664559700626
2449,"Delhi Public School, Mathura Road",7,Science,Classification/comparison of organisms/processes; giving examples,50,2025,30.8254836991,45.50114534207109
2449,"Delhi Public School, Mathura Road",7,Science,Analysis of information to identify trends or properties,50,2025,34.6708476489,41.35435487716802
2449,"Delhi Public School, Mathura Road",7,Science,"Extraction, translation and application of knowledge or information",50,2025,33.7931018809,40.984739179195024
2449,"Delhi Public School, Mathura Road",8,English,Identifies the main idea and purpose of the passage,50,2025,58.6510354839,46.28936205091433
2449,"Delhi Public School, Mathura Road",8,English,Understands the usage of grammar concepts,50,2025,49.5600994135,48.1581688969184
2449,"Delhi Public School, Mathura Road",8,English,Analyses characters and situations,50,2025,51.3782967742,47.60370053343227
2449,"Delhi Public School, Mathura Road",8,English,"Registers moods, tones and emotions",50,2025,54.0566917889,45.02952183311057
2449,"Delhi Public School, Mathura Road",8,English,Deduces word meanings from contextual clues,50,2025,48.6803604106,47.504000150963385
2449,"Delhi Public School, Mathura Road",8,English,Understands organisation and context of the passage,50,2025,48.3284451613,44.91790127094211
2449,"Delhi Public School, Mathura Road",8,English,Identifies and recalls direct facts in the passage,50,2025,48.1776246334,52.30588240813198
2449,"Delhi Public School, Mathura Road",8,English,"Understands idioms, proverbs and figures of speech",50,2025,41.3489683284,45.15565929408451
